state,place,DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP3_0009C,NAME,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,EP_UNEMP,EP_MOBILE,SPL_E_HU,RPL_E_HU,SPL_E_HH,RPL_E_HH,SPL_E_POV150,RPL_E_POV150,SPL_E_UNEMP,RPL_E_UNEMP,SPL_E_HBURD,RPL_E_HBURD,SPL_E_NOHSDP,RPL_E_NOHSDP,SPL_E_UNINSUR,RPL_E_UNINSUR,SPL_E_AGE65,RPL_E_AGE65,SPL_E_AGE17,RPL_E_AGE17,SPL_E_DISABL,RPL_E_DISABL,SPL_E_SNGPNT,RPL_E_SNGPNT,SPL_E_LIMENG,RPL_E_LIMENG,SPL_E_MUNIT,RPL_E_MUNIT,SPL_E_MOBILE,RPL_E_MOBILE,SPL_E_CROWD,RPL_E_CROWD,SPL_E_NOVEH,RPL_E_NOVEH,SPL_EP_UNEMP,RPL_EP_UNEMP,SPL_EP_MOBILE,RPL_EP_MOBILE
66,17000,3559,1144,922,631.0,107.0,36.0,93.0,61.0,181.0,596.0,410,279,268,309,305,482.0,37,70,396.0,116.0,110.0,119.0,46.0,5.0,4.0,1.0,4.0,96.0,65.0,29.0,,"Barrigada CDP, Guam",3559,1144,922,631.0,107.0,129.0,242.0,596.0,410,1161,482.0,107,787.0,10.0,4.0,161.0,29.0,,4.0,1144,0.6842,922,0.6316,631.0,0.6471,107.0,0.4902,129.0,0.8235,242.0,0.5686,596.0,0.7255,410,0.7719,1161,0.7895,482.0,0.7255,107,0.6579,787.0,0.5882,10.0,0.4902,4.0,0.598,161.0,0.6078,29.0,0.5882,,,4.0,0.598
66,18300,2239,727,593,281.0,64.0,21.0,64.0,53.0,78.0,335.0,364,111,142,160,154,245.0,13,42,345.0,21.0,142.0,49.0,128.0,1.0,15.0,0.0,9.0,39.0,24.0,12.0,,"Barrigada Heights CDP, Guam",2239,727,593,281.0,64.0,85.0,131.0,335.0,364,567,245.0,55,685.0,16.0,9.0,63.0,12.0,,9.0,727,0.4737,593,0.4561,281.0,0.3725,64.0,0.3725,85.0,0.598,131.0,0.3725,335.0,0.4706,364,0.6667,567,0.4035,245.0,0.4314,55,0.4386,685.0,0.5294,16.0,0.5098,9.0,0.8137,63.0,0.3333,12.0,0.2745,,,9.0,0.8137
66,24500,2524,840,584,781.0,122.0,13.0,54.0,103.0,247.0,566.0,200,218,246,242,217,280.0,30,59,704.0,61.0,308.0,311.0,23.0,1.0,0.0,1.0,15.0,95.0,95.0,39.0,,"Chaguian CDP, Guam",2524,840,584,781.0,122.0,67.0,350.0,566.0,200,923,280.0,89,1407.0,2.0,15.0,190.0,39.0,,15.0,840,0.5439,584,0.4211,781.0,0.8039,122.0,0.5882,67.0,0.451,350.0,0.8431,566.0,0.6863,200,0.4386,923,0.5263,280.0,0.4706,89,0.5614,1407.0,0.7843,2.0,0.3529,15.0,0.902,190.0,0.7843,39.0,0.7451,,,15.0,0.902
66,25450,3826,1138,1077,523.0,160.0,24.0,125.0,59.0,197.0,436.0,389,212,250,369,309,445.0,35,72,252.0,74.0,76.0,59.0,43.0,1.0,3.0,4.0,4.0,101.0,52.0,30.0,,"Chalan Pago CDP, Guam",3826,1138,1077,523.0,160.0,149.0,256.0,436.0,389,1140,445.0,107,504.0,8.0,4.0,153.0,30.0,,4.0,1138,0.6667,1077,0.807,523.0,0.5294,160.0,0.7157,149.0,0.9216,256.0,0.6373,436.0,0.5294,389,0.7368,1140,0.7719,445.0,0.6667,107,0.6579,504.0,0.4706,8.0,0.4706,4.0,0.598,153.0,0.549,30.0,0.6471,,,4.0,0.598
66,27400,6855,2157,1869,1887.0,313.0,30.0,138.0,307.0,436.0,1621.0,1050,373,522,548,618,1085.0,53,156,1817.0,117.0,1001.0,468.0,222.0,22.0,3.0,9.0,44.0,260.0,157.0,146.0,,"Dededo CDP, Guam",6855,2157,1869,1887.0,313.0,168.0,743.0,1621.0,1050,2061,1085.0,209,3625.0,34.0,44.0,417.0,146.0,,44.0,2157,0.9825,1869,0.9825,1887.0,1.0,313.0,1.0,168.0,0.9608,743.0,1.0,1621.0,1.0,1050,1.0,2061,1.0,1085.0,1.0,209,1.0,3625.0,1.0,34.0,0.6275,44.0,0.9804,417.0,0.9804,146.0,1.0,,,44.0,0.9804
66,29350,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Finegayan Station CDP, Guam",0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0263,0,0.0263,0.0,0.0294,0.0,0.0294,0.0,0.049,0.0,0.0294,0.0,0.0294,0,0.0263,0,0.0175,0.0,0.0294,0,0.0263,0.0,0.0294,0.0,0.0882,0.0,0.0882,0.0,0.0294,0.0,0.0294,,,0.0,0.0882
66,34750,943,407,344,,,,,,,,138,60,60,39,71,,11,26,,,,,,,,,,,,,,"Hagåtña CDP, Guam",943,407,344,,,,,,138,230,,37,,,,,,,,407,0.3158,344,0.2807,,,,,,,,,,,138,0.3684,230,0.1754,,,37,0.3158,,,,,,,,,,,,,,
66,35000,1389,363,356,,,,,,,,113,40,66,51,48,,12,20,,,,,,,,,,,,,,"Harmon Industrial Park CDP, Guam",1389,363,356,,,,,,113,205,,32,,,,,,,,363,0.2807,356,0.3158,,,,,,,,,,,113,0.2982,205,0.1404,,,32,0.2368,,,,,,,,,,,,,,
66,35850,896,235,218,232.0,41.0,8.0,19.0,12.0,71.0,120.0,85,93,87,80,56,97.0,20,18,66.0,33.0,6.0,23.0,2.0,1.0,1.0,0.0,1.0,30.0,20.0,12.0,,"Inarajan CDP, Guam",896,235,218,232.0,41.0,27.0,83.0,120.0,85,316,97.0,38,130.0,2.0,1.0,50.0,12.0,,1.0,235,0.1228,218,0.1404,232.0,0.3137,41.0,0.2549,27.0,0.2353,83.0,0.2745,120.0,0.2549,85,0.2105,316,0.2982,97.0,0.1961,38,0.3333,130.0,0.2353,2.0,0.3529,1.0,0.2843,50.0,0.2941,12.0,0.2745,,,1.0,0.2843
66,36600,1153,371,348,109.0,41.0,14.0,45.0,29.0,34.0,146.0,114,64,86,95,70,113.0,6,5,51.0,26.0,14.0,1.0,10.0,0.0,0.0,0.0,9.0,22.0,10.0,3.0,,"Ipan CDP, Guam",1153,371,348,109.0,41.0,59.0,63.0,146.0,114,315,113.0,11,102.0,0.0,9.0,32.0,3.0,,9.0,371,0.2982,348,0.2982,109.0,0.1569,41.0,0.2549,59.0,0.3922,63.0,0.1569,146.0,0.2745,114,0.3158,315,0.2807,113.0,0.2353,11,0.0702,102.0,0.1961,0.0,0.0882,9.0,0.8137,32.0,0.1569,3.0,0.1176,,,9.0,0.8137
66,41300,4653,1694,1337,866.0,188.0,26.0,115.0,206.0,214.0,1090.0,829,245,233,354,368,731.0,37,93,1411.0,58.0,1029.0,126.0,189.0,33.0,47.0,113.0,41.0,169.0,94.0,51.0,,"Liguan CDP, Guam",4653,1694,1337,866.0,188.0,141.0,420.0,1090.0,829,1200,731.0,130,2813.0,193.0,41.0,263.0,51.0,,41.0,1694,0.8947,1337,0.8772,866.0,0.8824,188.0,0.902,141.0,0.8922,420.0,0.9216,1090.0,0.9608,829,0.9825,1200,0.8246,731.0,0.9804,130,0.7895,2813.0,0.9608,193.0,0.8431,41.0,0.9608,263.0,0.9216,51.0,0.8235,,,41.0,0.9608
66,42470,3643,947,847,1010.0,178.0,11.0,77.0,134.0,180.0,774.0,322,309,319,303,309,503.0,36,116,892.0,22.0,668.0,192.0,7.0,73.0,1.0,8.0,5.0,161.0,108.0,46.0,,"Machananao East CDP, Guam",3643,947,847,1010.0,178.0,88.0,314.0,774.0,322,1240,503.0,152,1781.0,82.0,5.0,269.0,46.0,,5.0,947,0.5965,847,0.5965,1010.0,0.9608,178.0,0.8431,88.0,0.6275,314.0,0.7647,774.0,0.8431,322,0.5789,1240,0.8596,503.0,0.7843,152,0.8772,1781.0,0.8627,82.0,0.7059,5.0,0.6569,269.0,0.9412,46.0,0.7843,,,5.0,0.6569
66,42480,3246,825,729,946.0,160.0,8.0,52.0,85.0,184.0,590.0,175,335,356,356,272,241.0,57,130,655.0,33.0,342.0,262.0,14.0,18.0,3.0,54.0,12.0,155.0,96.0,28.0,,"Machananao West CDP, Guam",3246,825,729,946.0,160.0,60.0,269.0,590.0,175,1319,241.0,187,1306.0,75.0,12.0,251.0,28.0,,12.0,825,0.5263,729,0.5614,946.0,0.9216,160.0,0.7157,60.0,0.4118,269.0,0.6667,590.0,0.7059,175,0.4035,1319,0.8947,241.0,0.4118,187,0.9649,1306.0,0.7255,75.0,0.6863,12.0,0.8725,251.0,0.902,28.0,0.5392,,,12.0,0.8725
66,42490,5809,1729,1474,1153.0,291.0,31.0,92.0,235.0,347.0,1366.0,623,424,406,421,499,666.0,55,130,1557.0,32.0,1187.0,291.0,46.0,54.0,6.0,2.0,12.0,272.0,158.0,50.0,,"Machanao CDP, Guam",5809,1729,1474,1153.0,291.0,123.0,582.0,1366.0,623,1750,666.0,185,3113.0,62.0,12.0,430.0,50.0,,12.0,1729,0.9123,1474,0.9298,1153.0,0.9804,291.0,0.9804,123.0,0.7843,582.0,0.9804,1366.0,0.9804,623,0.9298,1750,0.9825,666.0,0.9412,185,0.9474,3113.0,0.9804,62.0,0.6471,12.0,0.8725,430.0,1.0,50.0,0.8039,,,12.0,0.8725
66,43300,3500,1223,1018,666.0,123.0,25.0,65.0,156.0,224.0,839.0,408,210,227,264,287,450.0,28,88,910.0,82.0,531.0,107.0,181.0,109.0,38.0,60.0,23.0,134.0,82.0,32.0,,"Macheche CDP, Guam",3500,1223,1018,666.0,123.0,90.0,380.0,839.0,408,988,450.0,116,1811.0,207.0,23.0,216.0,32.0,,23.0,1223,0.7895,1018,0.7368,666.0,0.6863,123.0,0.6078,90.0,0.6471,380.0,0.902,839.0,0.902,408,0.7544,988,0.6491,450.0,0.6863,116,0.7193,1811.0,0.8824,207.0,0.902,23.0,0.9216,216.0,0.8333,32.0,0.6863,,,23.0,0.9216
66,43650,676,257,210,78.0,33.0,2.0,22.0,12.0,43.0,92.0,108,44,31,50,60,102.0,9,9,34.0,10.0,9.0,6.0,9.0,0.0,0.0,0.0,1.0,16.0,9.0,7.0,,"Maina CDP, Guam",676,257,210,78.0,33.0,24.0,55.0,92.0,108,185,102.0,18,68.0,0.0,1.0,25.0,7.0,,1.0,257,0.1404,210,0.1228,78.0,0.1373,33.0,0.1569,24.0,0.2157,55.0,0.1373,92.0,0.1373,108,0.2807,185,0.0877,102.0,0.2157,18,0.0965,68.0,0.098,0.0,0.0882,1.0,0.2843,25.0,0.1176,7.0,0.2059,,,1.0,0.2843
66,44300,685,303,255,182.0,21.0,1.0,12.0,12.0,64.0,172.0,53,68,40,36,42,71.0,16,26,190.0,32.0,37.0,84.0,31.0,71.0,109.0,14.0,0.0,25.0,17.0,16.0,,"Maite CDP, Guam",685,303,255,182.0,21.0,13.0,76.0,172.0,53,186,71.0,42,374.0,194.0,0.0,42.0,16.0,,0.0,303,0.2456,255,0.2281,182.0,0.2549,21.0,0.1176,13.0,0.1176,76.0,0.2255,172.0,0.3137,53,0.1228,186,0.1053,71.0,0.1373,42,0.386,374.0,0.4118,194.0,0.8627,0.0,0.0882,42.0,0.2451,16.0,0.3725,,,0.0,0.0882
66,44500,1154,289,276,236.0,45.0,11.0,44.0,29.0,95.0,98.0,97,77,91,121,116,146.0,11,20,60.0,39.0,8.0,9.0,1.0,0.0,1.0,0.0,3.0,42.0,37.0,11.0,,"Malojloj CDP, Guam",1154,289,276,236.0,45.0,55.0,124.0,98.0,97,405,146.0,31,117.0,1.0,3.0,79.0,11.0,,3.0,289,0.2281,276,0.2632,236.0,0.3333,45.0,0.3137,55.0,0.3529,124.0,0.3529,98.0,0.1569,97,0.2456,405,0.3684,146.0,0.3137,31,0.2018,117.0,0.2157,1.0,0.2255,3.0,0.5294,79.0,0.3922,11.0,0.2353,,,3.0,0.5294
66,45600,5145,1785,1393,689.0,195.0,51.0,167.0,83.0,268.0,694.0,543,324,307,350,340,671.0,53,98,524.0,127.0,139.0,168.0,84.0,82.0,120.0,221.0,5.0,99.0,81.0,79.0,,"Mangilao CDP, Guam",5145,1785,1393,689.0,195.0,218.0,351.0,694.0,543,1321,671.0,151,1042.0,423.0,5.0,180.0,79.0,,5.0,1785,0.9298,1393,0.8947,689.0,0.7059,195.0,0.9314,218.0,0.9804,351.0,0.8627,694.0,0.7843,543,0.9123,1321,0.9123,671.0,0.9608,151,0.8596,1042.0,0.6863,423.0,0.9608,5.0,0.6569,180.0,0.7157,79.0,0.9608,,,5.0,0.6569
66,47800,4653,1578,1230,900.0,172.0,33.0,108.0,173.0,273.0,1052.0,470,299,296,372,395,498.0,42,81,1250.0,55.0,883.0,270.0,30.0,24.0,22.0,41.0,2.0,155.0,92.0,29.0,,"Mataguac CDP, Guam",4653,1578,1230,900.0,172.0,141.0,446.0,1052.0,470,1362,498.0,123,2488.0,87.0,2.0,247.0,29.0,,2.0,1578,0.8596,1230,0.8596,900.0,0.902,172.0,0.8039,141.0,0.8922,446.0,0.9412,1052.0,0.9412,470,0.8421,1362,0.9474,498.0,0.7647,123,0.7719,2488.0,0.9412,87.0,0.7255,2.0,0.4412,247.0,0.8824,29.0,0.5882,,,2.0,0.4412
66,49500,1538,451,396,417.0,76.0,10.0,53.0,49.0,143.0,218.0,169,116,122,151,131,238.0,14,55,123.0,60.0,12.0,48.0,2.0,1.0,17.0,0.0,3.0,49.0,42.0,36.0,,"Merizo CDP, Guam",1538,451,396,417.0,76.0,63.0,192.0,218.0,169,520,238.0,69,245.0,18.0,3.0,91.0,36.0,,3.0,451,0.3509,396,0.3509,417.0,0.451,76.0,0.4314,63.0,0.4314,192.0,0.451,218.0,0.3529,169,0.386,520,0.386,238.0,0.3922,69,0.5088,245.0,0.3333,18.0,0.5294,3.0,0.5294,91.0,0.4314,36.0,0.7255,,,3.0,0.5294
66,50500,2998,1047,905,486.0,109.0,29.0,105.0,108.0,147.0,616.0,384,163,194,206,252,411.0,13,75,746.0,30.0,444.0,78.0,185.0,66.0,25.0,56.0,32.0,92.0,31.0,28.0,,"Mogfog CDP, Guam",2998,1047,905,486.0,109.0,134.0,255.0,616.0,384,815,411.0,88,1483.0,147.0,32.0,123.0,28.0,,32.0,1047,0.6316,905,0.614,486.0,0.4902,109.0,0.5098,134.0,0.8627,255.0,0.6078,616.0,0.7451,384,0.7193,815,0.4912,411.0,0.6078,88,0.5439,1483.0,0.8235,147.0,0.8039,32.0,0.9412,123.0,0.4902,28.0,0.5392,,,32.0,0.9412
66,50800,3123,1173,949,816.0,158.0,18.0,64.0,72.0,216.0,561.0,362,222,256,259,260,464.0,42,128,651.0,135.0,211.0,224.0,74.0,149.0,113.0,32.0,6.0,104.0,68.0,61.0,,"Mongmong CDP, Guam",3123,1173,949,816.0,158.0,82.0,288.0,561.0,362,997,464.0,170,1295.0,294.0,6.0,172.0,61.0,,6.0,1173,0.7193,949,0.6842,816.0,0.8431,158.0,0.6863,82.0,0.5686,288.0,0.6863,561.0,0.6667,362,0.6491,997,0.6667,464.0,0.7059,170,0.9298,1295.0,0.7059,294.0,0.9216,6.0,0.7255,172.0,0.6667,61.0,0.8824,,,6.0,0.7255
66,52200,57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Naval Hospital CDP, Guam",57,0,0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0263,0,0.0263,0.0,0.0294,0.0,0.0294,0.0,0.049,0.0,0.0294,0.0,0.0294,0,0.0263,9,0.0351,0.0,0.0294,0,0.0263,0.0,0.0294,0.0,0.0882,0.0,0.0882,0.0,0.0294,0.0,0.0294,,,0.0,0.0882
66,52500,845,328,257,71.0,41.0,5.0,24.0,6.0,25.0,109.0,103,65,63,59,66,84.0,8,16,47.0,6.0,14.0,5.0,10.0,4.0,36.0,72.0,2.0,18.0,8.0,1.0,,"Nimitz Hill CDP, Guam",845,328,257,71.0,41.0,29.0,31.0,109.0,103,253,84.0,24,82.0,112.0,2.0,26.0,1.0,,2.0,328,0.2632,257,0.2456,71.0,0.1176,41.0,0.2549,29.0,0.2647,31.0,0.1176,109.0,0.1961,103,0.2632,253,0.2105,84.0,0.1569,24,0.1754,82.0,0.1176,112.0,0.7647,2.0,0.4412,26.0,0.1373,1.0,0.0686,,,2.0,0.4412
66,52750,123,59,38,20.0,1.0,0.0,2.0,2.0,12.0,19.0,14,5,10,11,11,16.0,1,6,19.0,7.0,7.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,,"Nimitz Hill Annex CDP, Guam",123,59,38,20.0,1.0,2.0,14.0,19.0,14,37,16.0,7,38.0,2.0,1.0,3.0,1.0,,1.0,59,0.0526,38,0.0526,20.0,0.0588,1.0,0.0588,2.0,0.098,14.0,0.0882,19.0,0.0784,14,0.0702,37,0.0526,16.0,0.0784,7,0.0526,38.0,0.0784,2.0,0.3529,1.0,0.2843,3.0,0.0588,1.0,0.0686,,,1.0,0.2843
66,53000,3997,1372,1051,653.0,153.0,25.0,93.0,109.0,184.0,787.0,416,283,309,325,332,493.0,37,72,842.0,30.0,655.0,143.0,12.0,0.0,0.0,0.0,6.0,145.0,78.0,17.0,,"North Gayinero CDP, Guam",3997,1372,1051,653.0,153.0,118.0,293.0,787.0,416,1249,493.0,109,1682.0,0.0,6.0,223.0,17.0,,6.0,1372,0.8421,1051,0.7895,653.0,0.6667,153.0,0.6471,118.0,0.7549,293.0,0.7255,787.0,0.8627,416,0.7895,1249,0.8772,493.0,0.7451,109,0.6842,1682.0,0.8431,0.0,0.0882,6.0,0.7255,223.0,0.8627,17.0,0.3922,,,6.0,0.7255
66,54800,1808,893,667,227.0,69.0,16.0,54.0,54.0,47.0,270.0,277,67,90,119,115,202.0,18,13,360.0,7.0,96.0,39.0,197.0,20.0,73.0,256.0,0.0,27.0,18.0,23.0,,"Oka CDP, Guam",1808,893,667,227.0,69.0,70.0,101.0,270.0,277,391,202.0,31,699.0,349.0,0.0,45.0,23.0,,0.0,893,0.5789,667,0.5439,227.0,0.2941,69.0,0.4118,70.0,0.4804,101.0,0.2941,270.0,0.4118,277,0.5439,391,0.3158,202.0,0.3529,31,0.2018,699.0,0.549,349.0,0.9412,0.0,0.0882,45.0,0.2745,23.0,0.451,,,0.0,0.0882
66,55350,3238,991,952,533.0,155.0,29.0,89.0,52.0,204.0,438.0,344,223,254,272,264,432.0,49,84,344.0,76.0,136.0,71.0,57.0,19.0,133.0,54.0,3.0,115.0,70.0,35.0,,"Ordot CDP, Guam",3238,991,952,533.0,155.0,118.0,256.0,438.0,344,1013,432.0,133,684.0,206.0,3.0,185.0,35.0,,3.0,991,0.614,952,0.7018,533.0,0.549,155.0,0.6667,118.0,0.7549,256.0,0.6373,438.0,0.549,344,0.5965,1013,0.6842,432.0,0.6471,133,0.807,684.0,0.5098,206.0,0.8824,3.0,0.5294,185.0,0.7549,35.0,0.7059,,,3.0,0.5294
