state,place,DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP2_0151C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP1_0128C,DP3_0151P,DP3_0009P,DP4_0125P,DP4_0126P,DP2_0008P,DP2_0009P,DP3_0068P,DP1_0024P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP2_0102P,NAME_x,DP1_0141P,DP1_0143P,DP2_0178P,DP2_0182P,DP2_0185P,DP2_0188P,DP2_0191P,DP2_0151P,DP4_0022P,DP4_0023P,DP4_0024P,DP4_0025P,DP4_0083P,DP4_0084P,DP4_0077P,DP1_0128P,DP2_0101P,NAME_y,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL
66,17000,3559,1144,922,631.0,107.0,36.0,93.0,61.0,181.0,596.0,410,279,268,309,305,482.0,37,70,396.0,116.0,110.0,119.0,46.0,668.0,5.0,4.0,1.0,4.0,96.0,65.0,29.0,3,17.8,7.2,5.4,14.1,2.9,8.5,17.0,11.5,7.8,7.5,8.7,8.6,13.7,,4.0,7.6,12.1,7.4,7.1,7.6,2.9,100.0,0.4,0.4,0.1,0.4,10.4,7.1,3.2,0.1,100.0,,3559,1144,922,631.0,107.0,129.0,242.0,596.0,410,1161.0,482.0,107.0,787.0,668.0,10.0,4.0,161.0,29.0,3,17.8,7.2,19.5,11.4,17.0,11.5,32.6,13.7,11.6,37.1,100.0,0.9,0.4,17.5,3.2,0.1,0.3878,0.1224,0.5,0.1837,0.5102,1.7041,0.2128,0.625,0.7143,0.5612,0.5455,0.3776,2.8236000000000003,0.6122,0.5102,0.5102,0.5102,0.3878,0.4184,0.4082,0.3673,0.3125,1.8941999999999999,0.2041,1.5393,0.2979,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,14.0
66,18300,2239,727,593,281.0,64.0,21.0,64.0,53.0,78.0,335.0,364,111,142,160,154,245.0,13,42,345.0,21.0,142.0,49.0,128.0,720.0,1.0,15.0,0.0,9.0,39.0,24.0,12.0,213,14.0,6.9,5.5,16.8,4.0,5.9,16.9,16.3,5.0,6.3,7.1,6.9,12.3,,2.2,7.1,18.1,2.1,14.4,5.0,13.0,100.0,0.1,2.1,0.0,1.2,6.6,4.1,2.0,9.5,100.0,,2239,727,593,281.0,64.0,85.0,131.0,335.0,364,567.0,245.0,55.0,685.0,720.0,16.0,9.0,63.0,12.0,213,14.0,6.9,22.3,9.9,16.9,16.3,25.299999999999997,12.3,9.3,52.6,100.0,2.2,1.2,10.7,2.0,9.5,0.1429,0.0816,0.7872,0.1224,0.4898,1.6239000000000001,0.1702,0.9643,0.1429,0.3061,0.2091,0.551,2.1734,0.2449,0.5102,0.5102,0.5102,0.449,0.7347,0.102,0.1633,0.9107,2.3597,0.4082,1.3335,0.1702,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,16.0
66,24500,2524,840,584,781.0,122.0,13.0,54.0,103.0,247.0,566.0,200,218,246,242,217,280.0,30,59,704.0,61.0,308.0,311.0,23.0,954.0,1.0,0.0,1.0,15.0,95.0,95.0,39.0,0,31.4,12.4,3.5,14.6,7.3,17.5,22.8,7.9,8.6,9.7,9.6,8.6,11.3,,5.1,10.1,30.8,4.3,21.8,22.0,1.6,100.0,0.1,0.0,0.1,1.8,16.4,16.4,6.7,0.0,100.0,,2524,840,584,781.0,122.0,67.0,350.0,566.0,200,923.0,280.0,89.0,1407.0,954.0,2.0,15.0,190.0,39.0,0,31.4,12.4,18.1,24.8,22.8,7.9,36.5,11.3,15.2,80.5,100.0,0.2,1.8,32.8,6.7,0.0,0.9796,0.7959,0.3404,0.9592,0.8571,3.9322,1.0,0.1429,0.9286,0.1939,0.7727,0.9796,3.0177,0.7347,0.5102,0.5102,0.5102,0.2245,0.8265,0.949,0.7653,0.1339,2.8992,0.6327,2.8776,0.8085,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,14.0
66,25450,3826,1138,1077,523.0,160.0,24.0,125.0,59.0,197.0,436.0,389,212,250,369,309,445.0,35,72,252.0,74.0,76.0,59.0,43.0,574.0,1.0,3.0,4.0,4.0,101.0,52.0,30.0,20,13.8,9.1,3.0,15.7,2.5,8.2,11.6,10.2,5.5,6.5,9.6,8.1,11.8,,3.2,6.7,7.0,4.7,4.8,3.7,2.7,100.0,0.1,0.3,0.4,0.4,9.4,4.8,2.8,0.5,100.0,,3826,1138,1077,523.0,160.0,149.0,256.0,436.0,389,1140.0,445.0,107.0,504.0,574.0,8.0,4.0,153.0,30.0,20,13.8,9.1,18.7,10.7,11.6,10.2,29.700000000000003,11.8,9.9,22.9,100.0,0.8,0.4,14.2,2.8,0.5,0.1224,0.3265,0.383,0.1429,0.0612,1.036,0.0213,0.3929,0.3929,0.2347,0.2909,0.1633,1.4747,0.0816,0.5102,0.5102,0.5102,0.3571,0.4184,0.2449,0.2959,0.6161,1.9324,0.2245,0.8376,0.0638,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0
66,27400,6855,2157,1869,1887.0,313.0,30.0,138.0,307.0,436.0,1621.0,1050,373,522,548,618,1085.0,53,156,1817.0,117.0,1001.0,468.0,222.0,3134.0,22.0,3.0,9.0,44.0,260.0,157.0,146.0,40,27.7,11.0,3.9,17.9,7.2,10.2,23.9,15.3,5.4,7.6,8.0,9.0,16.0,,2.8,8.3,28.2,2.7,23.2,10.8,5.1,100.0,1.0,0.1,0.4,2.0,13.9,8.4,7.8,0.6,100.0,,6855,2157,1869,1887.0,313.0,168.0,743.0,1621.0,1050,2061.0,1085.0,209.0,3625.0,3134.0,34.0,44.0,417.0,146.0,40,27.7,11.0,21.799999999999997,17.4,23.9,15.3,30.0,16.0,11.100000000000001,69.99999999999999,100.0,1.5,2.0,22.3,7.8,0.6,0.8776,0.5918,0.7447,0.7755,0.9184,3.9080000000000004,0.9787,0.9196,0.4286,0.8673,0.4545,0.8776,3.5475999999999996,0.9796,0.5102,0.5102,0.5102,0.4082,0.898,0.7143,0.8776,0.6518,3.5499000000000005,0.9796,3.4480999999999997,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,15.0
66,29350,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,34750,943,407,344,,,,,,,,138,60,60,39,71,,11,26,,,,,,,,,,,,,,56,,,,,,,,14.6,6.4,6.4,4.1,7.5,,,3.2,7.6,,,,,,,,,,,,,,5.9,,,943,407,344,,,,,,138,230.0,,37.0,,,,,,,56,,,,,,14.6,24.4,,10.8,,,,,,,5.9,,,,,,,,0.8929,0.125,,0.4273,,,,,,,,,,,0.875,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
66,35000,1389,363,356,,,,,,,,113,40,66,51,48,,12,20,,,,,,,,,,,,,,410,,,,,,,,8.1,2.9,4.8,3.7,3.5,,,3.4,5.6,,,,,,,,,,,,,,29.5,,,1389,363,356,,,,,,113,205.0,,32.0,,,,,,,410,,,,,,8.1,14.899999999999999,,9.0,,,,,,,29.5,,,,,,,,0.1696,0.0357,,0.1818,,,,,,,,,,,0.9821,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
66,35850,896,235,218,232.0,41.0,8.0,19.0,12.0,71.0,120.0,85,93,87,80,56,97.0,20,18,66.0,33.0,6.0,23.0,2.0,62.0,1.0,1.0,0.0,1.0,30.0,20.0,12.0,6,26.3,11.7,5.6,13.3,2.4,13.9,13.6,9.5,10.4,9.7,8.9,6.3,11.0,,9.2,8.3,8.3,10.0,1.8,7.0,0.6,100.0,0.4,0.4,0.0,0.4,13.8,9.2,5.5,0.7,100.0,,896,235,218,232.0,41.0,27.0,83.0,120.0,85,316.0,97.0,38.0,130.0,62.0,2.0,1.0,50.0,12.0,6,26.3,11.7,18.9,16.3,13.6,9.5,35.3,11.0,17.5,27.700000000000003,100.0,0.8,0.4,23.0,5.5,0.7,0.7551,0.7143,0.4043,0.6735,0.2449,2.7921,0.5957,0.2857,0.875,0.1429,0.8909,0.2857,2.4802,0.3673,0.5102,0.5102,0.5102,0.3571,0.4184,0.7653,0.6122,0.6875,2.8405,0.6122,2.0854,0.5957,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0
66,36600,1153,371,348,109.0,41.0,14.0,45.0,29.0,34.0,146.0,114,64,86,95,70,113.0,6,5,51.0,26.0,14.0,1.0,10.0,112.0,0.0,0.0,0.0,9.0,22.0,10.0,3.0,2,9.6,7.8,5.7,18.2,3.9,4.6,13.5,9.9,5.6,7.5,8.2,6.1,10.4,,1.7,1.4,4.7,7.6,4.1,0.3,2.9,100.0,0.0,0.0,0.0,2.4,6.4,2.9,0.9,0.2,100.0,,1153,371,348,109.0,41.0,59.0,63.0,146.0,114,315.0,113.0,11.0,102.0,112.0,0.0,9.0,32.0,3.0,2,9.6,7.8,23.9,8.5,13.5,9.9,27.4,10.4,3.0999999999999996,19.599999999999998,100.0,0.0,2.4,9.3,0.9,0.2,0.0408,0.2041,0.8191,0.0816,0.2143,1.3598999999999999,0.1277,0.3304,0.2768,0.0816,0.0182,0.102,0.8089999999999999,0.0204,0.5102,0.5102,0.5102,0.0714,0.949,0.0612,0.0408,0.4375,1.5598999999999998,0.1224,0.7807,0.0426,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,14.0
66,41300,4653,1694,1337,866.0,188.0,26.0,115.0,206.0,214.0,1090.0,829,245,233,354,368,731.0,37,93,1411.0,58.0,1029.0,126.0,189.0,2561.0,33.0,47.0,113.0,41.0,169.0,94.0,51.0,4,18.7,8.8,3.2,14.4,6.6,6.9,23.6,17.8,5.3,5.0,7.6,7.9,15.8,,2.8,7.0,32.0,1.9,33.1,4.1,6.1,100.0,1.9,2.8,6.7,2.4,12.6,7.0,3.8,0.1,100.0,,4653,1694,1337,866.0,188.0,141.0,420.0,1090.0,829,1200.0,731.0,130.0,2813.0,2561.0,193.0,41.0,263.0,51.0,4,18.7,8.8,17.6,13.5,23.6,17.8,25.799999999999997,15.8,9.8,77.19999999999999,100.0,11.399999999999999,2.4,19.6,3.8,0.1,0.4082,0.3061,0.3191,0.449,0.898,2.3804,0.4468,0.9821,0.1786,0.8367,0.2636,0.9592,3.2202,0.8367,0.5102,0.5102,0.5102,0.7347,0.949,0.5306,0.5,0.3125,3.0267999999999997,0.6939,2.4876,0.7021,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,15.0
